,feature,label,label_name,horizontal
0,input/flower_images/test/Sunflower/5923dc460f.jpg,0,Sunflower,False
1,input/flower_images/test/Sunflower/6edee49d22.jpg,0,Sunflower,True
2,input/flower_images/test/Sunflower/d2fd6fa4b1.jpg,0,Sunflower,True
3,input/flower_images/test/Sunflower/eea6835cfd.jpg,0,Sunflower,False
4,input/flower_images/test/Tulip/6b012a0040.jpg,1,Tulip,False
5,input/flower_images/test/Tulip/dbf7e99529.jpg,1,Tulip,True
6,input/flower_images/test/Tulip/da0c9e3ecc.jpg,1,Tulip,False
7,input/flower_images/test/Tulip/4b451e36ce.jpg,1,Tulip,True
8,input/flower_images/test/Orchid/2a7bdf9df5.jpg,2,Orchid,False
9,input/flower_images/test/Orchid/a3bc16175e.jpg,2,Orchid,True
10,input/flower_images/test/Orchid/dea5151e89.jpg,2,Orchid,True
11,input/flower_images/test/Orchid/265024ff3c.jpg,2,Orchid,True
12,input/flower_images/test/Lotus/914cb149ff.jpg,3,Lotus,True
13,input/flower_images/test/Lotus/4d4f50f45b.jpg,3,Lotus,True
14,input/flower_images/test/Lotus/12e31eda33.jpg,3,Lotus,False
15,input/flower_images/test/Lotus/b580fbb236.jpg,3,Lotus,True
16,input/flower_images/test/Lilly/57229fa626.jpg,4,Lilly,False
17,input/flower_images/test/Lilly/1925720ad2.jpg,4,Lilly,False
18,input/flower_images/test/Lilly/ec0b888b41.jpg,4,Lilly,False
19,input/flower_images/test/Lilly/d3bfa7b850.jpg,4,Lilly,False
